usage_date,item_code,material_name,consumed_quantity,unit,activity_type,finished_product_name,recorded_by,notes
2026-01-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.86,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1000)"
2026-01-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.88,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1002)"
2026-01-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.22,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1004)"
2026-01-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.08,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1006)"
2026-01-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.82,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1008)"
2026-01-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.74,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1010)"
2026-01-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.9,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1012)"
2026-01-08,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.77,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1014)"
2026-01-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1016)"
2026-01-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.26,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1018)"
2026-01-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1020)"
2026-01-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.88,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1022)"
2026-01-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.76,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1024)"
2026-01-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.81,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1026)"
2026-01-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1028)"
2026-01-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1030)"
