receipt_date,item_code,material_name,received_quantity,unit,supplier_name,received_by,remarks
2026-01-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.71,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.28,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.05,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.58,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.57,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.04,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-31,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.29,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.71,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.27,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.05,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.59,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.56,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.04,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.3,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.71,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.26,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.06,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.6,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.55,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.03,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.31,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.71,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.25,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.06,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.6,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.55,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.03,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.32,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.71,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.24,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-31,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.07,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.61,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.54,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.03,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.33,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.7,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.23,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.07,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.62,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.53,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.02,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.34,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.7,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.22,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.08,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.63,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.52,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.02,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",4.32,kg,"Quezon Agricultural Producers Coop","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-02,RM-002,"Baking Powder",18.72,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-07,RM-002,"Baking Powder",17.85,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-12,RM-002,"Baking Powder",20.23,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-17,RM-002,"Baking Powder",20.02,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-22,RM-002,"Baking Powder",17.73,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-27,RM-002,"Baking Powder",18.98,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-01,RM-002,"Baking Powder",20.7,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-06,RM-002,"Baking Powder",18.67,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-11,RM-002,"Baking Powder",17.87,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-16,RM-002,"Baking Powder",20.26,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-21,RM-002,"Baking Powder",19.98,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-26,RM-002,"Baking Powder",17.72,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-03,RM-002,"Baking Powder",19.03,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-08,RM-002,"Baking Powder",20.69,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-13,RM-002,"Baking Powder",18.63,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-18,RM-002,"Baking Powder",17.9,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-23,RM-002,"Baking Powder",20.29,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-28,RM-002,"Baking Powder",19.94,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-02,RM-002,"Baking Powder",17.7,kg,"Southern Luzon Ingredients Supply","Warehouse Inbound Team","Authorized supplier stock replenishment"
