receipt_date,item_code,material_name,received_quantity,unit,supplier_name
2026-01-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",77,kg,"Approved Industrial Supplier"
2026-01-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",74,kg,"Approved Industrial Supplier"
2026-01-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",74,kg,"Approved Industrial Supplier"
2026-01-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",76,kg,"Approved Industrial Supplier"
2026-02-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",84,kg,"Approved Industrial Supplier"
2026-02-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",75,kg,"Approved Industrial Supplier"
2026-02-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",75,kg,"Approved Industrial Supplier"
2026-02-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",76,kg,"Approved Industrial Supplier"
2026-03-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",83,kg,"Approved Industrial Supplier"
2026-03-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",87,kg,"Approved Industrial Supplier"
2026-03-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",82,kg,"Approved Industrial Supplier"
2026-03-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",76,kg,"Approved Industrial Supplier"
2026-04-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",86,kg,"Approved Industrial Supplier"
2026-04-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",82,kg,"Approved Industrial Supplier"
2026-04-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",78,kg,"Approved Industrial Supplier"
2026-05-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",75,kg,"Approved Industrial Supplier"
2026-05-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",87,kg,"Approved Industrial Supplier"
2026-05-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",79,kg,"Approved Industrial Supplier"
2026-05-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",75,kg,"Approved Industrial Supplier"
2026-06-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",86,kg,"Approved Industrial Supplier"
2026-06-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",79,kg,"Approved Industrial Supplier"
2026-06-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",86,kg,"Approved Industrial Supplier"
2026-06-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",87,kg,"Approved Industrial Supplier"
2026-07-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",83,kg,"Approved Industrial Supplier"
