usage_date,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-01,"Bell Pepper",152.89,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-01,"Butter/Margarine",665.32,g,"Production Batch Processing","Binayong Hipon"
2026-03-01,"Cabbage",379.12,g,"Production Batch Processing","Crispy Bucheron"
2026-03-01,"Carrots",321.76,g,"Production Batch Processing","Salted Banana Chips"
2026-03-01,"Chicken",1215.08,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-01,"Chiton",2019.87,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-01,"Cooking Oil",17.49,L,"Production Batch Processing","Biscocho Chips"
2026-03-01,"Garlic",252.05,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-01,"Ground Pepper",67.46,g,"Production Batch Processing","Binayong Hipon"
2026-03-01,"Honey",513.29,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-01,"Loaf Bread",8.11,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-01,"Onion",350.9,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-01,"Oyster Sauce",135.4,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-01,"Peanuts",3164.72,g,"Production Batch Processing","Biscocho Chips"
2026-03-01,"Pork",1328.96,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-01,"Pork Skin",2352.18,g,"Production Batch Processing","Binayong Hipon"
2026-03-01,"Raw Bananas",3392.27,g,"Production Batch Processing","Crispy Bucheron"
2026-03-01,"Salt",249.98,g,"Production Batch Processing","Salted Banana Chips"
2026-03-01,"Sea Salt",124.03,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-01,"Sesame Oil",88.99,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-01,"Small Shrimp",3384.17,g,"Production Batch Processing","Biscocho Chips"
2026-03-01,"Soy Sauce",214.45,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-01,"Spring Onion",142.52,g,"Production Batch Processing","Binayong Hipon"
2026-03-01,"Sugar",582.6,g,"Production Batch Processing","Crispy Bucheron"
2026-03-01,"Turmeric Powder",80.63,g,"Production Batch Processing","Salted Banana Chips"
2026-03-01,"Water",45.73,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-02,"Bell Pepper",105.66,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-02,"Butter/Margarine",414.78,g,"Production Batch Processing","Binayong Hipon"
2026-03-02,"Cabbage",298.87,g,"Production Batch Processing","Crispy Bucheron"
2026-03-02,"Carrots",207.22,g,"Production Batch Processing","Salted Banana Chips"
2026-03-02,"Chicken",931.75,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-02,"Chiton",1589.83,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-02,"Cooking Oil",11.83,L,"Production Batch Processing","Biscocho Chips"
2026-03-02,"Garlic",158.76,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-02,"Ground Pepper",47.22,g,"Production Batch Processing","Binayong Hipon"
2026-03-02,"Honey",328.94,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-02,"Loaf Bread",5.66,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-02,"Onion",290.27,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-02,"Oyster Sauce",111.21,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-02,"Peanuts",1916.94,g,"Production Batch Processing","Biscocho Chips"
2026-03-02,"Pork",933.42,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-02,"Pork Skin",1640.79,g,"Production Batch Processing","Binayong Hipon"
2026-03-02,"Raw Bananas",2818.07,g,"Production Batch Processing","Crispy Bucheron"
2026-03-02,"Salt",173.49,g,"Production Batch Processing","Salted Banana Chips"
2026-03-02,"Sea Salt",85.26,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-02,"Sesame Oil",72.74,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-02,"Small Shrimp",2351.8,g,"Production Batch Processing","Biscocho Chips"
2026-03-02,"Soy Sauce",170.51,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-02,"Spring Onion",109.81,g,"Production Batch Processing","Binayong Hipon"
2026-03-02,"Sugar",450.17,g,"Production Batch Processing","Crispy Bucheron"
