usage_date,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-01,"Bread Flour",41.96,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-01,"All-Purpose Flour",33.93,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-01,"Refined White Sugar",25.21,kg,"Baking Production Batch","Brioche Buns"
2026-03-01,"Salted Butter",14.99,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-01,"Fresh Eggs",70.11,pcs,"Baking Production Batch","Classic Pandesal"
2026-03-01,"Whole Milk",12.24,L,"Baking Production Batch","Ensaymada Especial"
2026-03-01,"Instant Dry Yeast",2.63,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-01,"Iodized Salt",3.31,kg,"Baking Production Batch","Brioche Buns"
2026-03-01,"Pure Vanilla Extract",0.76,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-01,"Cocoa Powder",5.22,kg,"Baking Production Batch","Brioche Buns"
2026-03-02,"Bread Flour",25.55,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-02,"All-Purpose Flour",19.71,kg,"Baking Production Batch","Butter Croissants"
2026-03-02,"Refined White Sugar",15.68,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-02,"Salted Butter",10.35,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-02,"Fresh Eggs",49.81,pcs,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-02,"Whole Milk",8.25,L,"Baking Production Batch","Brioche Buns"
2026-03-02,"Instant Dry Yeast",1.61,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-02,"Iodized Salt",2.32,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-02,"Pure Vanilla Extract",0.57,L,"Baking Production Batch","Butter Croissants"
2026-03-02,"Cocoa Powder",3.49,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-03,"Bread Flour",31.82,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-03,"All-Purpose Flour",24.3,kg,"Baking Production Batch","Classic Pandesal"
2026-03-03,"Refined White Sugar",15.77,kg,"Baking Production Batch","Butter Croissants"
2026-03-03,"Salted Butter",11.45,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-03,"Fresh Eggs",49.07,pcs,"Baking Production Batch","French Baguette"
2026-03-03,"Whole Milk",8.51,L,"Baking Production Batch","French Baguette"
2026-03-03,"Instant Dry Yeast",1.98,kg,"Baking Production Batch","Brioche Buns"
2026-03-03,"Iodized Salt",2.34,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-03,"Pure Vanilla Extract",0.64,L,"Baking Production Batch","French Baguette"
2026-03-03,"Cocoa Powder",3.3,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-04,"Bread Flour",28.28,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-04,"All-Purpose Flour",23.13,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-04,"Refined White Sugar",16.15,kg,"Baking Production Batch","Butter Croissants"
2026-03-04,"Salted Butter",10.55,kg,"Baking Production Batch","French Baguette"
2026-03-04,"Fresh Eggs",42.11,pcs,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-04,"Whole Milk",8.69,L,"Baking Production Batch","French Baguette"
2026-03-04,"Instant Dry Yeast",2.01,kg,"Baking Production Batch","Butter Croissants"
2026-03-04,"Iodized Salt",2.11,kg,"Baking Production Batch","Butter Croissants"
2026-03-04,"Pure Vanilla Extract",0.62,L,"Baking Production Batch","French Baguette"
2026-03-04,"Cocoa Powder",3.35,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-05,"Bread Flour",30.67,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-05,"All-Purpose Flour",24.79,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-05,"Refined White Sugar",17.39,kg,"Baking Production Batch","Brioche Buns"
2026-03-05,"Salted Butter",11.46,kg,"Baking Production Batch","Classic Pandesal"
2026-03-05,"Fresh Eggs",42.22,pcs,"Baking Production Batch","Brioche Buns"
2026-03-05,"Whole Milk",8.92,L,"Baking Production Batch","Butter Croissants"
2026-03-05,"Instant Dry Yeast",1.99,kg,"Baking Production Batch","Butter Croissants"
2026-03-05,"Iodized Salt",2.35,kg,"Baking Production Batch","French Baguette"
2026-03-05,"Pure Vanilla Extract",0.64,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-05,"Cocoa Powder",3.28,kg,"Baking Production Batch","Chocolate Chiffon Cake"
