receipt_date,item_code,material_name,received_quantity,unit,supplier_name,received_by,remarks
2026-02-15,RM-001,"Bread Flour",425,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-001,"Bread Flour",425,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-02-15,RM-002,"All-Purpose Flour",340,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-002,"All-Purpose Flour",340,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-01-31,RM-003,"Cake Flour",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-03-27,RM-003,"Cake Flour",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-26,RM-003,"Cake Flour",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-02-15,RM-004,"Refined White Sugar",382.5,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-004,"Refined White Sugar",382.5,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-01-31,RM-005,"Brown Sugar",220,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-03-27,RM-005,"Brown Sugar",220,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-26,RM-005,"Brown Sugar",220,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-02-15,RM-007,"Unsalted Butter",255,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-007,"Unsalted Butter",255,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-01-31,RM-008,"Salted Butter",198,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-03-27,RM-008,"Salted Butter",198,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-26,RM-008,"Salted Butter",198,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-01-31,RM-009,"Margarine",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-03-27,RM-009,"Margarine",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-26,RM-009,"Margarine",275,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-02-15,RM-011,"Pasteurized Whole Eggs",297.5,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-011,"Pasteurized Whole Eggs",297.5,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-02-15,RM-014,"Full Cream Milk",238,L,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-01,RM-014,"Full Cream Milk",238,L,"Universal Robina Supply Corp","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-01-31,RM-015,"Skimmed Milk Powder",176,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-03-27,RM-015,"Skimmed Milk Powder",176,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
2026-05-26,RM-015,"Skimmed Milk Powder",176,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Restricted partial replenishment during supply chain strain"
