item_code,name,unit_of_measure,current_stock,minimum_threshold,reorder_quantity,lead_time_days,shortage_status
RM-001,"Bread Flour",kg,0,150,500,3,OUT OF STOCK
RM-002,"All-Purpose Flour",kg,0,120,400,3,OUT OF STOCK
RM-003,"Cake Flour",kg,0,80,250,4,OUT OF STOCK
RM-004,"Refined White Sugar",kg,0,140,450,2,OUT OF STOCK
RM-005,"Brown Sugar",kg,0,60,200,3,OUT OF STOCK
RM-006,"Powdered Sugar (Icing)",kg,0,50,180,3,OUT OF STOCK
RM-007,"Unsalted Butter",kg,0,90,300,2,OUT OF STOCK
RM-008,"Salted Butter",kg,0,50,180,2,OUT OF STOCK
RM-009,"Margarine",kg,0,75,250,3,OUT OF STOCK
RM-010,"Vegetable Shortening",kg,0,60,200,4,OUT OF STOCK
RM-011,"Pasteurized Whole Eggs",kg,0,100,350,1,OUT OF STOCK
RM-012,"Egg Yolks (Liquid)",kg,0,40,120,2,OUT OF STOCK
RM-013,"Egg Whites (Liquid)",kg,0,35,110,2,OUT OF STOCK
RM-014,"Full Cream Milk",L,0,80,280,2,OUT OF STOCK
RM-015,"Skimmed Milk Powder",kg,0,50,160,4,OUT OF STOCK
RM-016,"Evaporated Milk",L,0,60,200,3,OUT OF STOCK
RM-017,"Condensed Milk",kg,0,70,220,3,OUT OF STOCK
RM-018,"Heavy Whipping Cream",L,0,55,180,2,OUT OF STOCK
RM-019,"Instant Dry Yeast",kg,0,20,60,5,OUT OF STOCK
RM-020,"Active Dry Yeast",kg,0,15,40,5,OUT OF STOCK
RM-021,"Baking Powder (Double Acting)",kg,0,20,65,4,OUT OF STOCK
RM-022,"Baking Soda",kg,0,15,50,4,OUT OF STOCK
RM-023,"Iodized Fine Salt",kg,0,25,80,3,OUT OF STOCK
RM-024,"Dark Chocolate Couverture (65%)",kg,0,70,240,5,OUT OF STOCK
RM-025,"Milk Chocolate Chips",kg,0,55,180,4,OUT OF STOCK
RM-026,"White Chocolate Compound",kg,0,45,140,4,OUT OF STOCK
RM-027,"Alkalized Cocoa Powder",kg,0,45,150,5,OUT OF STOCK
RM-028,"Pure Vanilla Extract",L,0,10,35,6,OUT OF STOCK
RM-029,"Artificial Vanilla Flavoring",L,0,15,45,3,OUT OF STOCK
RM-030,"Ube Flavor Paste",kg,0,30,100,4,OUT OF STOCK
RM-031,"Pandan Extract Essence",L,0,10,30,4,OUT OF STOCK
RM-032,"Ground Cinnamon Powder",kg,0,12,38,5,OUT OF STOCK
RM-033,"Nutmeg Powder",kg,0,5,18,6,OUT OF STOCK
RM-034,"Cheddar Cheese Block",kg,0,50,170,3,OUT OF STOCK
RM-035,"Cream Cheese",kg,0,60,200,3,OUT OF STOCK
RM-036,"Grated Parmesan Cheese",kg,0,25,75,4,OUT OF STOCK
RM-037,"Quick-Melt Cheese",kg,0,45,150,3,OUT OF STOCK
RM-038,"Roasted Almond Slices",kg,0,25,90,6,OUT OF STOCK
RM-039,"Walnut Halves",kg,0,20,70,6,OUT OF STOCK
RM-040,"Desiccated Coconut (Medium)",kg,0,35,115,4,OUT OF STOCK
RM-041,"Black Sesame Seeds",kg,0,15,45,5,OUT OF STOCK
RM-042,"White Sesame Seeds",kg,0,18,60,4,OUT OF STOCK
RM-043,"Strawberry Jam Filling",kg,0,40,130,3,OUT OF STOCK
RM-044,"Blueberry Fruit Filling",kg,0,35,110,4,OUT OF STOCK
RM-045,"Bavarian Cream Filling",kg,0,50,160,3,OUT OF STOCK
RM-046,"Pineapple Crushed (Canned)",kg,0,30,95,4,OUT OF STOCK
RM-047,"Cornstarch (Maizena)",kg,0,40,140,3,OUT OF STOCK
RM-048,"Bread Improver (Enzyme)",kg,0,8,25,5,OUT OF STOCK
RM-049,"Emulsifier Paste (Ovalette)",kg,0,12,40,5,OUT OF STOCK
RM-050,"Calcium Propionate (Preservative)",kg,0,6,20,6,OUT OF STOCK
RM-051,"Liquid Glucose Syrup",kg,0,35,120,4,OUT OF STOCK
RM-052,"Honey Pure Bee",kg,0,20,65,5,OUT OF STOCK
RM-053,"Matcha Green Tea Powder",kg,0,12,42,7,OUT OF STOCK
RM-054,"Red Food Coloring (Gel)",L,27.74,4,12,4,STABLE
RM-055,"Yellow Food Coloring (Gel)",L,60.37,4,12,4,STABLE
RM-056,"Green Food Coloring (Gel)",L,130.85,3,10,4,STABLE
RM-057,"Instant Coffee Powder",kg,0,18,55,4,OUT OF STOCK
RM-058,"Rolled Oats (Old Fashioned)",kg,0,25,85,4,OUT OF STOCK
RM-059,"Golden Raisins Seedless",kg,0,22,75,5,OUT OF STOCK
