receipt_date,raw_material_name,received_quantity,unit,supplier_name
2026-03-01,"Bread Flour",373.67,kg,"San Miguel Mills Corp."
2026-03-01,"All-Purpose Flour",276.09,kg,"Baking Essentials Phils."
2026-03-01,"Refined White Sugar",245.39,kg,"Magnolia Dairy Products"
2026-03-01,"Salted Butter",166.13,kg,"Baking Essentials Phils."
2026-03-01,"Fresh Eggs",650.99,pcs,"Baking Essentials Phils."
2026-03-01,"Whole Milk",120.09,L,"Universal Robina Agro-Industrial"
2026-03-01,"Instant Dry Yeast",57.97,kg,"Golden Harvest Trading"
2026-03-01,"Iodized Salt",74.36,kg,"Golden Harvest Trading"
2026-03-01,"Pure Vanilla Extract",23.69,L,"San Miguel Mills Corp."
2026-03-01,"Cocoa Powder",57.18,kg,"Baking Essentials Phils."
2026-03-12,"Bread Flour",387.24,kg,"Universal Robina Agro-Industrial"
2026-03-12,"All-Purpose Flour",326.08,kg,"Magnolia Dairy Products"
2026-03-12,"Refined White Sugar",260.05,kg,"Magnolia Dairy Products"
2026-03-12,"Salted Butter",139.22,kg,"Golden Harvest Trading"
2026-03-12,"Fresh Eggs",601.59,pcs,"Baking Essentials Phils."
2026-03-12,"Whole Milk",113.57,L,"San Miguel Mills Corp."
2026-03-12,"Instant Dry Yeast",63.7,kg,"Golden Harvest Trading"
2026-03-12,"Iodized Salt",77.54,kg,"Sweet Delights Supplier Inc."
2026-03-12,"Pure Vanilla Extract",24.39,L,"Baking Essentials Phils."
2026-03-12,"Cocoa Powder",61.31,kg,"Magnolia Dairy Products"
2026-03-23,"Bread Flour",349.03,kg,"Baking Essentials Phils."
2026-03-23,"All-Purpose Flour",308.82,kg,"Universal Robina Agro-Industrial"
2026-03-23,"Refined White Sugar",257.48,kg,"San Miguel Mills Corp."
2026-03-23,"Salted Butter",149.25,kg,"Universal Robina Agro-Industrial"
2026-03-23,"Fresh Eggs",669.31,pcs,"San Miguel Mills Corp."
2026-03-23,"Whole Milk",128.24,L,"Golden Harvest Trading"
2026-03-23,"Instant Dry Yeast",63.66,kg,"Sweet Delights Supplier Inc."
2026-03-23,"Iodized Salt",86.01,kg,"Golden Harvest Trading"
2026-03-23,"Pure Vanilla Extract",25.39,L,"Magnolia Dairy Products"
2026-03-23,"Cocoa Powder",58.25,kg,"Universal Robina Agro-Industrial"
2026-04-03,"Bread Flour",388.36,kg,"Golden Harvest Trading"
2026-04-03,"All-Purpose Flour",322.64,kg,"San Miguel Mills Corp."
2026-04-03,"Refined White Sugar",245.95,kg,"Universal Robina Agro-Industrial"
2026-04-03,"Salted Butter",154.59,kg,"Universal Robina Agro-Industrial"
2026-04-03,"Fresh Eggs",555.53,pcs,"Universal Robina Agro-Industrial"
2026-04-03,"Whole Milk",128.17,L,"Baking Essentials Phils."
2026-04-03,"Instant Dry Yeast",55.29,kg,"San Miguel Mills Corp."
2026-04-03,"Iodized Salt",77.83,kg,"Baking Essentials Phils."
2026-04-03,"Pure Vanilla Extract",24.75,L,"San Miguel Mills Corp."
2026-04-03,"Cocoa Powder",62.9,kg,"Golden Harvest Trading"
2026-04-14,"Bread Flour",335.41,kg,"Sweet Delights Supplier Inc."
2026-04-14,"All-Purpose Flour",290.61,kg,"Sweet Delights Supplier Inc."
2026-04-14,"Refined White Sugar",247.29,kg,"Golden Harvest Trading"
2026-04-14,"Salted Butter",154.34,kg,"Sweet Delights Supplier Inc."
2026-04-14,"Fresh Eggs",631.26,pcs,"San Miguel Mills Corp."
2026-04-14,"Whole Milk",111.13,L,"Sweet Delights Supplier Inc."
2026-04-14,"Instant Dry Yeast",62.59,kg,"Sweet Delights Supplier Inc."
2026-04-14,"Iodized Salt",75.22,kg,"Baking Essentials Phils."
2026-04-14,"Pure Vanilla Extract",26.66,L,"San Miguel Mills Corp."
2026-04-14,"Cocoa Powder",61,kg,"Magnolia Dairy Products"
2026-04-25,"Bread Flour",348.95,kg,"Magnolia Dairy Products"
2026-04-25,"All-Purpose Flour",293.29,kg,"Universal Robina Agro-Industrial"
2026-04-25,"Refined White Sugar",231.58,kg,"Sweet Delights Supplier Inc."
2026-04-25,"Salted Butter",140.92,kg,"Universal Robina Agro-Industrial"
2026-04-25,"Fresh Eggs",668.58,pcs,"Golden Harvest Trading"
2026-04-25,"Whole Milk",116.62,L,"Baking Essentials Phils."
2026-04-25,"Instant Dry Yeast",58.75,kg,"San Miguel Mills Corp."
2026-04-25,"Iodized Salt",87.56,kg,"Universal Robina Agro-Industrial"
2026-04-25,"Pure Vanilla Extract",25.88,L,"Magnolia Dairy Products"
2026-04-25,"Cocoa Powder",66.82,kg,"Magnolia Dairy Products"
2026-05-06,"Bread Flour",334.15,kg,"San Miguel Mills Corp."
2026-05-06,"All-Purpose Flour",287.92,kg,"Baking Essentials Phils."
2026-05-06,"Refined White Sugar",263.69,kg,"Baking Essentials Phils."
2026-05-06,"Salted Butter",149.45,kg,"Magnolia Dairy Products"
2026-05-06,"Fresh Eggs",579.38,pcs,"Universal Robina Agro-Industrial"
2026-05-06,"Whole Milk",128.68,L,"San Miguel Mills Corp."
2026-05-06,"Instant Dry Yeast",55.42,kg,"Baking Essentials Phils."
2026-05-06,"Iodized Salt",83.59,kg,"Universal Robina Agro-Industrial"
2026-05-06,"Pure Vanilla Extract",27.38,L,"Golden Harvest Trading"
2026-05-06,"Cocoa Powder",65.77,kg,"Baking Essentials Phils."
2026-05-17,"Bread Flour",389.8,kg,"Sweet Delights Supplier Inc."
2026-05-17,"All-Purpose Flour",318.84,kg,"Universal Robina Agro-Industrial"
2026-05-17,"Refined White Sugar",271.69,kg,"San Miguel Mills Corp."
2026-05-17,"Salted Butter",145.35,kg,"Golden Harvest Trading"
2026-05-17,"Fresh Eggs",589.29,pcs,"Baking Essentials Phils."
2026-05-17,"Whole Milk",120.57,L,"San Miguel Mills Corp."
2026-05-17,"Instant Dry Yeast",56.66,kg,"Sweet Delights Supplier Inc."
2026-05-17,"Iodized Salt",83.15,kg,"Baking Essentials Phils."
2026-05-17,"Pure Vanilla Extract",27.28,L,"Baking Essentials Phils."
