usage_date,item_code,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",8.26,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-01,RM-002,"Baking Powder",13.11,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-01,RM-003,"Cream of Tartar",3.52,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-01,RM-004,"Instant Dry Yeast",10.56,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-01,RM-005,"Cane Vinegar",18.46,L,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-01,RM-006,"Soy Sauce",24.62,L,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-01,RM-007,"Condensed Milk",20.93,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-01,RM-008,"Evaporated Milk",19.28,L,"Commercial Food Processing","Ube Halaya Processing"
2026-03-01,RM-009,"Powdered Milk",22.93,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-01,RM-010,"Fresh Whole Egg Whites",18.59,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-01,RM-011,"Fresh Whole Eggs",34.12,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-01,RM-012,"All-Vegetable Shortening",23.79,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-01,RM-013,"Baking Shortening",28.24,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-01,RM-014,"Salted Creamery Butter",32.11,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-01,RM-015,"Seedless Raisins",6.16,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-01,RM-016,"Vanilla Extract",2.6,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-01,RM-017,"All-Purpose Wheat Flour",59.33,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-01,RM-018,"Cornstarch",14.07,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-01,RM-019,"Glutinous Rice (Malagkit for Pinipig)",27.09,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-01,RM-020,"Hard Wheat Bread Flour",72.17,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-01,RM-021,"Purified Water",104.31,L,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-01,RM-022,"Cleaned Chicken Crop (Butse)",16.84,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-01,RM-023,"Pork Skin with Back Fat",43.44,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-01,RM-024,"Raw Shelled Peanuts",48.05,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-01,RM-025,"Toasted Sesame Seeds",6.23,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-01,RM-026,"Palm Cooking Oil",40.97,L,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-01,RM-027,"Pure Pork Lard",28.11,L,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-01,RM-028,"Refined Peanut Oil",16.39,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-01,RM-029,"Fresh Carrots",12.5,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-01,RM-030,"Fresh Cassava Tubers",23.87,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-01,RM-031,"Fresh Garlic",11.52,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-01,RM-032,"Fresh Ginger",9.01,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-01,RM-033,"Fresh Grated Coconut Meat",21.65,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-01,RM-034,"Fresh Mature Coconut Meat",21.34,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-01,RM-035,"Fresh Purple Yam Tubers",20.21,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-01,RM-036,"Fresh Sweet Potato",20.57,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-01,RM-037,"Green Raw Papaya",13.89,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-01,RM-038,"Pandan Leaves",2.08,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-01,RM-039,"Red Bell Peppers",7.62,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-01,RM-040,"Red Chili Peppers (Siling Labuyo)",4.61,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-01,RM-041,"Red Onions",11.2,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-01,RM-042,"Unripe Green Saba Bananas",61.6,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-01,RM-043,"Fresh Acetes Shrimp (Alamang)",26.91,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-01,RM-044,"Fresh Bangus (Milkfish) Skin",19,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-01,RM-045,"Fresh Chiton Mollusk (Kibit)",34.08,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-01,RM-046,"Fresh Kabasi Fish",21.73,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-01,RM-047,"Fresh Sapsap Fish",18.63,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-01,RM-048,"Cheese Seasoning Powder",4.9,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-01,RM-049,"Coarse Rock Salt",15.06,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-01,RM-050,"Iodized Salt",13.34,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-01,RM-051,"Dried Bay Leaves (Laurel)",1.8,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-01,RM-052,"Dried Red Chili Flakes",3.21,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-01,RM-053,"Garlic Powder",5.81,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-01,RM-054,"Ground Black Pepper",5.08,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-01,RM-055,"White Pepper Powder",3.26,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-01,RM-056,"Whole Black Peppercorns",4.95,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-01,RM-057,"Muscovado Brown Sugar",30.13,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-01,RM-058,"Panutsa Cane Sugar",21.06,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-01,RM-059,"Refined White Sugar",46.76,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",13.95,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-02,RM-002,"Baking Powder",21.37,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-02,RM-003,"Cream of Tartar",4.77,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-02,RM-004,"Instant Dry Yeast",17.99,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-02,RM-005,"Cane Vinegar",28.27,L,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-02,RM-006,"Soy Sauce",34.1,L,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-02,RM-007,"Condensed Milk",36.73,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-02,RM-008,"Evaporated Milk",35.78,L,"Commercial Food Processing","Ube Halaya Processing"
2026-03-02,RM-009,"Powdered Milk",35.98,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-02,RM-010,"Fresh Whole Egg Whites",28.62,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-02,RM-011,"Fresh Whole Eggs",51.81,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-02,RM-012,"All-Vegetable Shortening",38.32,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-02,RM-013,"Baking Shortening",46.12,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-02,RM-014,"Salted Creamery Butter",41.56,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-02,RM-015,"Seedless Raisins",9.53,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-02,RM-016,"Vanilla Extract",4.04,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-02,RM-017,"All-Purpose Wheat Flour",104.33,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-02,RM-018,"Cornstarch",19.74,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-02,RM-019,"Glutinous Rice (Malagkit for Pinipig)",43.97,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-02,RM-020,"Hard Wheat Bread Flour",119.75,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-02,RM-021,"Purified Water",158.97,L,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-02,RM-022,"Cleaned Chicken Crop (Butse)",25.3,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-02,RM-023,"Pork Skin with Back Fat",75.08,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-02,RM-024,"Raw Shelled Peanuts",80.5,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-02,RM-025,"Toasted Sesame Seeds",8.92,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-02,RM-026,"Palm Cooking Oil",62.64,L,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-02,RM-027,"Pure Pork Lard",47.69,L,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-02,RM-028,"Refined Peanut Oil",24.65,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-02,RM-029,"Fresh Carrots",18.19,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-02,RM-030,"Fresh Cassava Tubers",41.95,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-02,RM-031,"Fresh Garlic",18.05,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-02,RM-032,"Fresh Ginger",13.3,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-02,RM-033,"Fresh Grated Coconut Meat",35.09,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-02,RM-034,"Fresh Mature Coconut Meat",34.22,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-02,RM-035,"Fresh Purple Yam Tubers",30.56,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-02,RM-036,"Fresh Sweet Potato",32.57,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-02,RM-037,"Green Raw Papaya",22.23,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-02,RM-038,"Pandan Leaves",3.84,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-02,RM-039,"Red Bell Peppers",12.93,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-02,RM-040,"Red Chili Peppers (Siling Labuyo)",6.52,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-02,RM-041,"Red Onions",17.85,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-02,RM-042,"Unripe Green Saba Bananas",96.5,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-02,RM-043,"Fresh Acetes Shrimp (Alamang)",39.24,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-02,RM-044,"Fresh Bangus (Milkfish) Skin",29.98,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-02,RM-045,"Fresh Chiton Mollusk (Kibit)",52.79,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-02,RM-046,"Fresh Kabasi Fish",31.34,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-02,RM-047,"Fresh Sapsap Fish",31.74,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-02,RM-048,"Cheese Seasoning Powder",8.57,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-02,RM-049,"Coarse Rock Salt",25.32,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-02,RM-050,"Iodized Salt",20.25,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-02,RM-051,"Dried Bay Leaves (Laurel)",2.66,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-02,RM-052,"Dried Red Chili Flakes",5.23,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-02,RM-053,"Garlic Powder",9.48,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-02,RM-054,"Ground Black Pepper",7.35,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-02,RM-055,"White Pepper Powder",4.46,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-02,RM-056,"Whole Black Peppercorns",7.72,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-02,RM-057,"Muscovado Brown Sugar",46.98,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-02,RM-058,"Panutsa Cane Sugar",33.11,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-02,RM-059,"Refined White Sugar",70.45,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",13.63,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-03,RM-002,"Baking Powder",16.05,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-03,RM-003,"Cream of Tartar",4.43,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-03,RM-004,"Instant Dry Yeast",15.92,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-03,RM-005,"Cane Vinegar",25.33,L,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-03,RM-006,"Soy Sauce",26.56,L,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-03,RM-007,"Condensed Milk",26.18,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-03,RM-008,"Evaporated Milk",32.53,L,"Commercial Food Processing","Ube Halaya Processing"
2026-03-03,RM-009,"Powdered Milk",29.61,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-03,RM-010,"Fresh Whole Egg Whites",25.24,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-03,RM-011,"Fresh Whole Eggs",45.83,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-03,RM-012,"All-Vegetable Shortening",32.78,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-03,RM-013,"Baking Shortening",39.97,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-03,RM-014,"Salted Creamery Butter",38.31,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-03,RM-015,"Seedless Raisins",9.46,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-03,RM-016,"Vanilla Extract",3.66,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-03,RM-017,"All-Purpose Wheat Flour",87.93,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-03,RM-018,"Cornstarch",17.62,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-03,RM-019,"Glutinous Rice (Malagkit for Pinipig)",44.22,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-03,RM-020,"Hard Wheat Bread Flour",113.18,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-03,RM-021,"Purified Water",139.4,L,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-03,RM-022,"Cleaned Chicken Crop (Butse)",23.77,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-03,RM-023,"Pork Skin with Back Fat",62.65,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-03,RM-024,"Raw Shelled Peanuts",66.15,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-03,RM-025,"Toasted Sesame Seeds",7.68,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-03,RM-026,"Palm Cooking Oil",58.73,L,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-03,RM-027,"Pure Pork Lard",42.24,L,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-03,RM-028,"Refined Peanut Oil",19.36,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-03,RM-029,"Fresh Carrots",15.54,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-03,RM-030,"Fresh Cassava Tubers",35.58,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-03,RM-031,"Fresh Garlic",16.35,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-03,RM-032,"Fresh Ginger",10.61,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-03,RM-033,"Fresh Grated Coconut Meat",30.31,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-03,RM-034,"Fresh Mature Coconut Meat",31.04,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-03,RM-035,"Fresh Purple Yam Tubers",25.92,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-03,RM-036,"Fresh Sweet Potato",26.48,kg,"Commercial Food Processing","Traditional Candied Delicacies"
