receipt_date,item_code,material_name,received_quantity,unit,supplier_name,received_by,remarks
2026-01-01,RM-001,"Bread Flour",318.7,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-07,RM-001,"Bread Flour",294.15,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-13,RM-001,"Bread Flour",271.56,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-19,RM-001,"Bread Flour",297.89,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-25,RM-001,"Bread Flour",318.4,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-31,RM-001,"Bread Flour",290.44,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-06,RM-001,"Bread Flour",272.15,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-12,RM-001,"Bread Flour",301.56,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-18,RM-001,"Bread Flour",317.52,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-02-24,RM-001,"Bread Flour",286.84,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-02,RM-001,"Bread Flour",273.31,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-08,RM-001,"Bread Flour",305.06,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-14,RM-001,"Bread Flour",316.07,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-20,RM-001,"Bread Flour",283.45,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-03-26,RM-001,"Bread Flour",275.03,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-01,RM-001,"Bread Flour",308.31,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-07,RM-001,"Bread Flour",314.1,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-13,RM-001,"Bread Flour",280.35,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-19,RM-001,"Bread Flour",277.24,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-04-25,RM-001,"Bread Flour",311.24,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-01,RM-001,"Bread Flour",311.65,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-07,RM-001,"Bread Flour",277.63,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-13,RM-001,"Bread Flour",279.91,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-19,RM-001,"Bread Flour",313.75,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-25,RM-001,"Bread Flour",308.79,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-05-31,RM-001,"Bread Flour",275.34,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-06,RM-001,"Bread Flour",282.95,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-12,RM-001,"Bread Flour",315.8,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-18,RM-001,"Bread Flour",305.58,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-24,RM-001,"Bread Flour",273.54,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-06-30,RM-001,"Bread Flour",286.3,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-06,RM-001,"Bread Flour",317.33,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-12,RM-001,"Bread Flour",302.11,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-18,RM-001,"Bread Flour",272.29,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-24,RM-001,"Bread Flour",289.87,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-07-30,RM-001,"Bread Flour",318.3,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-05,RM-001,"Bread Flour",298.46,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-11,RM-001,"Bread Flour",271.61,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-17,RM-001,"Bread Flour",293.57,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-23,RM-001,"Bread Flour",318.69,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-08-29,RM-001,"Bread Flour",222.61,kg,"San Miguel Mills Logistics","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-02,RM-002,"All-Purpose Flour",203.71,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-07,RM-002,"All-Purpose Flour",194.28,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-12,RM-002,"All-Purpose Flour",220.18,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-17,RM-002,"All-Purpose Flour",217.86,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Authorized supplier stock replenishment"
2026-01-22,RM-002,"All-Purpose Flour",193.01,kg,"Universal Robina Supply Corp","Warehouse Inbound Team","Authorized supplier stock replenishment"
