receipt_date,item_code,raw_material_name,received_quantity,unit,supplier_name
2026-03-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",79.23,kg,"San Miguel Mills Corp."
2026-03-01,RM-002,"Baking Powder",107.96,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-003,"Cream of Tartar",41.87,kg,"Golden Harvest Trading"
2026-03-01,RM-004,"Instant Dry Yeast",116.94,kg,"Magnolia Dairy Products"
2026-03-01,RM-005,"Cane Vinegar",122.79,L,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-006,"Soy Sauce",178.37,L,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-007,"Condensed Milk",237.4,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-008,"Evaporated Milk",209.18,L,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-009,"Powdered Milk",199.02,kg,"San Miguel Mills Corp."
2026-03-01,RM-010,"Fresh Whole Egg Whites",166.83,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-011,"Fresh Whole Eggs",291.49,kg,"Golden Harvest Trading"
2026-03-01,RM-012,"All-Vegetable Shortening",159.05,kg,"Magnolia Dairy Products"
2026-03-01,RM-013,"Baking Shortening",203.27,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-014,"Salted Creamery Butter",262.45,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-015,"Seedless Raisins",81.22,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-016,"Vanilla Extract",34.02,L,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-017,"All-Purpose Wheat Flour",449.68,kg,"San Miguel Mills Corp."
2026-03-01,RM-018,"Cornstarch",120,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-019,"Glutinous Rice (Malagkit for Pinipig)",245.8,kg,"Golden Harvest Trading"
2026-03-01,RM-020,"Hard Wheat Bread Flour",581.43,kg,"Magnolia Dairy Products"
2026-03-01,RM-021,"Purified Water",831.18,L,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-022,"Cleaned Chicken Crop (Butse)",178.77,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-023,"Pork Skin with Back Fat",399.99,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-024,"Raw Shelled Peanuts",344.76,kg,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-025,"Toasted Sesame Seeds",54.65,kg,"San Miguel Mills Corp."
2026-03-01,RM-026,"Palm Cooking Oil",451.87,L,"Universal Robina Agro-Industrial"
2026-03-01,RM-027,"Pure Pork Lard",267.34,L,"Golden Harvest Trading"
2026-03-01,RM-028,"Refined Peanut Oil",175.21,L,"Magnolia Dairy Products"
2026-03-01,RM-029,"Fresh Carrots",128.7,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-030,"Fresh Cassava Tubers",228.05,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-031,"Fresh Garlic",83.8,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-032,"Fresh Ginger",69.2,kg,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-033,"Fresh Grated Coconut Meat",224.35,kg,"San Miguel Mills Corp."
2026-03-01,RM-034,"Fresh Mature Coconut Meat",195.55,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-035,"Fresh Purple Yam Tubers",163.18,kg,"Golden Harvest Trading"
2026-03-01,RM-036,"Fresh Sweet Potato",180.92,kg,"Magnolia Dairy Products"
2026-03-01,RM-037,"Green Raw Papaya",115.02,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-038,"Pandan Leaves",26.06,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-039,"Red Bell Peppers",73.18,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-040,"Red Chili Peppers (Siling Labuyo)",50.36,kg,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-041,"Red Onions",134.84,kg,"San Miguel Mills Corp."
2026-03-01,RM-042,"Unripe Green Saba Bananas",450.96,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-043,"Fresh Acetes Shrimp (Alamang)",181.54,kg,"Golden Harvest Trading"
