receipt_date,raw_material_name,received_quantity,unit,supplier_name
2026-03-01,"Bell Pepper",4509.7,g,"Lucena Seafood & Aquatic Supplier"
2026-03-01,"Butter/Margarine",16179.59,g,"Quezon Coastal Chiton Gatherers"
2026-03-01,"Cabbage",9859.37,g,"Tiaong Agricultural Produce"
2026-03-01,"Carrots",8738.28,g,"San Antonio Meat Supply"
2026-03-01,"Chicken",23681.28,g,"Southern Tagalog Food Essentials"
2026-03-01,"Chiton",43673.28,g,"Lucena Commercial Grocery Hub"
2026-03-01,"Cooking Oil",258.01,L,"Lucena Seafood & Aquatic Supplier"
2026-03-01,"Garlic",6537.07,g,"Quezon Coastal Chiton Gatherers"
2026-03-01,"Ground Pepper",2465.8,g,"Tiaong Agricultural Produce"
2026-03-01,"Honey",10449.8,ml,"San Antonio Meat Supply"
2026-03-01,"Loaf Bread",106.31,pcs,"Southern Tagalog Food Essentials"
2026-03-01,"Onion",8682.42,g,"Lucena Commercial Grocery Hub"
2026-03-01,"Oyster Sauce",4758.1,ml,"Lucena Seafood & Aquatic Supplier"
2026-03-01,"Peanuts",51346.77,g,"Quezon Coastal Chiton Gatherers"
2026-03-01,"Pork",24058.05,g,"Tiaong Agricultural Produce"
2026-03-01,"Pork Skin",43698.3,g,"San Antonio Meat Supply"
2026-03-01,"Raw Bananas",57009.67,g,"Southern Tagalog Food Essentials"
2026-03-01,"Salt",9702.72,g,"Lucena Commercial Grocery Hub"
2026-03-01,"Sea Salt",5538.95,g,"Lucena Seafood & Aquatic Supplier"
2026-03-01,"Sesame Oil",4060.22,ml,"Quezon Coastal Chiton Gatherers"
2026-03-01,"Small Shrimp",45257.1,g,"Tiaong Agricultural Produce"
2026-03-01,"Soy Sauce",7863.31,ml,"San Antonio Meat Supply"
2026-03-01,"Spring Onion",4282.03,g,"Southern Tagalog Food Essentials"
2026-03-01,"Sugar",14371.02,g,"Lucena Commercial Grocery Hub"
2026-03-01,"Turmeric Powder",2363.3,g,"Lucena Seafood & Aquatic Supplier"
2026-03-01,"Water",555.18,L,"Quezon Coastal Chiton Gatherers"
2026-03-13,"Bell Pepper",5285.37,g,"Lucena Seafood & Aquatic Supplier"
2026-03-13,"Butter/Margarine",14873.7,g,"Quezon Coastal Chiton Gatherers"
2026-03-13,"Cabbage",10223.19,g,"Tiaong Agricultural Produce"
2026-03-13,"Carrots",7280.86,g,"San Antonio Meat Supply"
2026-03-13,"Chicken",26573.48,g,"Southern Tagalog Food Essentials"
2026-03-13,"Chiton",38393.18,g,"Lucena Commercial Grocery Hub"
2026-03-13,"Cooking Oil",276.8,L,"Lucena Seafood & Aquatic Supplier"
2026-03-13,"Garlic",6116.31,g,"Quezon Coastal Chiton Gatherers"
2026-03-13,"Ground Pepper",2531.53,g,"Tiaong Agricultural Produce"
2026-03-13,"Honey",9579.46,ml,"San Antonio Meat Supply"
2026-03-13,"Loaf Bread",97.08,pcs,"Southern Tagalog Food Essentials"
2026-03-13,"Onion",8812.52,g,"Lucena Commercial Grocery Hub"
2026-03-13,"Oyster Sauce",4642.06,ml,"Lucena Seafood & Aquatic Supplier"
2026-03-13,"Peanuts",54812.82,g,"Quezon Coastal Chiton Gatherers"
2026-03-13,"Pork",24955.06,g,"Tiaong Agricultural Produce"
2026-03-13,"Pork Skin",40493.62,g,"San Antonio Meat Supply"
2026-03-13,"Raw Bananas",62562.56,g,"Southern Tagalog Food Essentials"
2026-03-13,"Salt",9004.17,g,"Lucena Commercial Grocery Hub"
2026-03-13,"Sea Salt",4767.96,g,"Lucena Seafood & Aquatic Supplier"
2026-03-13,"Sesame Oil",4435.52,ml,"Quezon Coastal Chiton Gatherers"
2026-03-13,"Small Shrimp",52284.71,g,"Tiaong Agricultural Produce"
2026-03-13,"Soy Sauce",8230.49,ml,"San Antonio Meat Supply"
2026-03-13,"Spring Onion",3722.28,g,"Southern Tagalog Food Essentials"
2026-03-13,"Sugar",14673.9,g,"Lucena Commercial Grocery Hub"
2026-03-13,"Turmeric Powder",2600.98,g,"Lucena Seafood & Aquatic Supplier"
