Period_Month,Raw_Material_Name,Forecasted_Requirement_Quantity
2026-01,Bell Pepper,91.1
2026-02,Bell Pepper,82.83
2026-03,Bell Pepper,92.48
2026-04,Bell Pepper,90.79
2026-05,Bell Pepper,95.8
2026-06,Bell Pepper,92.53
2026-07,Bell Pepper,97.47
2026-08,Bell Pepper,98.57
2026-09,Bell Pepper,96.11
2026-10,Bell Pepper,101.3
2026-11,Bell Pepper,98.48
2026-12,Bell Pepper,102.8
2026-01,Butter/Margarine,169.55
2026-02,Butter/Margarine,154.14
2026-03,Butter/Margarine,172.1
2026-04,Butter/Margarine,169.09
2026-05,Butter/Margarine,178.3
2026-06,Butter/Margarine,172.34
2026-07,Butter/Margarine,181.58
2026-08,Butter/Margarine,183.63
2026-09,Butter/Margarine,179.07
2026-10,Butter/Margarine,188.83
2026-11,Butter/Margarine,183.54
2026-12,Butter/Margarine,191.68
2026-01,Cabbage,210.52
2026-02,Cabbage,191.23
2026-03,Cabbage,213.37
2026-04,Cabbage,209.36
2026-05,Cabbage,220.78
2026-06,Cabbage,213.13
2026-07,Cabbage,224.39
2026-08,Cabbage,226.76
2026-09,Cabbage,221.0
2026-10,Cabbage,232.9
2026-11,Cabbage,226.19
2026-12,Cabbage,236.05
2026-01,Carrots,131.08
2026-02,Carrots,119.09
2026-03,Carrots,132.86
2026-04,Carrots,130.52
2026-05,Carrots,137.66
2026-06,Carrots,132.91
2026-07,Carrots,140.04
2026-08,Carrots,141.56
2026-09,Carrots,138.0
2026-10,Carrots,145.51
2026-11,Carrots,141.31
2026-12,Carrots,147.55
2026-01,Chicken,350.21
2026-02,Chicken,318.44
2026-03,Chicken,355.61
2026-04,Chicken,348.9
2026-05,Chicken,368.25
2026-06,Chicken,355.79
2026-07,Chicken,374.58
2026-08,Chicken,378.87
2026-09,Chicken,369.44
2026-10,Chicken,389.29
2026-11,Chicken,378.51
2026-12,Chicken,395.02
2026-01,Chiton,262.29
2026-02,Chiton,238.02
2026-03,Chiton,265.53
2026-04,Chiton,260.39
2026-05,Chiton,275.37
2026-06,Chiton,264.89
2026-07,Chiton,279.11
2026-08,Chiton,282.57
2026-09,Chiton,274.69
2026-10,Chiton,290.13
2026-11,Chiton,281.64
2026-12,Chiton,293.45
2026-01,Cooking Oil,608.99
2026-02,Cooking Oil,552.85
2026-03,Cooking Oil,616.57
2026-04,Cooking Oil,605.54
2026-05,Cooking Oil,639.38
2026-06,Cooking Oil,616.06
2026-07,Cooking Oil,649.68
2026-08,Cooking Oil,656.53
2026-09,Cooking Oil,639.47
2026-10,Cooking Oil,674.98
2026-11,Cooking Oil,655.1
2026-12,Cooking Oil,683.55
2026-01,Garlic,157.21
2026-02,Garlic,142.82
2026-03,Garlic,159.39
2026-04,Garlic,156.37
2026-05,Garlic,165.08
2026-06,Garlic,159.13
2026-07,Garlic,167.65
2026-08,Garlic,169.52
2026-09,Garlic,165.11
2026-10,Garlic,174.06
2026-11,Garlic,169.13
2026-12,Garlic,176.38
2026-01,Ground Pepper,50.57
2026-02,Ground Pepper,45.93
2026-03,Ground Pepper,51.25
2026-04,Ground Pepper,50.31
2026-05,Ground Pepper,53.17
2026-06,Ground Pepper,51.22
2026-07,Ground Pepper,54.0
2026-08,Ground Pepper,54.62
2026-09,Ground Pepper,53.21
2026-10,Ground Pepper,56.15
2026-11,Ground Pepper,54.52
2026-12,Ground Pepper,56.89
2026-01,Honey,109.11
2026-02,Honey,99.09
2026-03,Honey,110.55
2026-04,Honey,108.51
2026-05,Honey,114.41
2026-06,Honey,110.42
2026-07,Honey,116.3
2026-08,Honey,117.49
2026-09,Honey,114.51
2026-10,Honey,120.7
2026-11,Honey,117.2
2026-12,Honey,122.33
2026-01,Loaf Bread,1641.6
2026-02,Loaf Bread,1489.65
2026-03,Loaf Bread,1661.28
2026-04,Loaf Bread,1629.58
2026-05,Loaf Bread,1724.7
2026-06,Loaf Bread,1658.22
2026-07,Loaf Bread,1748.27
2026-08,Loaf Bread,1768.57
2026-09,Loaf Bread,1721.29
2026-10,Loaf Bread,1817.48
2026-11,Loaf Bread,1763.07
2026-12,Loaf Bread,1838.37
2026-01,Onion,143.53
2026-02,Onion,130.43
2026-03,Onion,145.58
2026-04,Onion,142.92
2026-05,Onion,150.84
2026-06,Onion,145.59
2026-07,Onion,153.39
2026-08,Onion,155.11
2026-09,Onion,151.18
2026-10,Onion,159.4
2026-11,Onion,154.88
2026-12,Onion,161.65
2026-01,Oyster Sauce,83.82
2026-02,Oyster Sauce,76.17
2026-03,Oyster Sauce,84.99
2026-04,Oyster Sauce,83.43
2026-05,Oyster Sauce,87.99
2026-06,Oyster Sauce,84.91
2026-07,Oyster Sauce,89.45
2026-08,Oyster Sauce,90.4
2026-09,Oyster Sauce,88.13
2026-10,Oyster Sauce,92.86
2026-11,Oyster Sauce,90.21
2026-12,Oyster Sauce,94.16
2026-01,Peanuts,573.96
2026-02,Peanuts,521.82
2026-03,Peanuts,582.6
2026-04,Peanuts,571.93
2026-05,Peanuts,603.31
2026-06,Peanuts,582.82
2026-07,Peanuts,613.77
2026-08,Peanuts,620.82
2026-09,Peanuts,605.21
2026-10,Peanuts,637.82
2026-11,Peanuts,620.09
2026-12,Peanuts,647.21
2026-01,Pork,361.22
2026-02,Pork,328.15
2026-03,Pork,366.07
2026-04,Pork,359.55
2026-05,Pork,379.32
2026-06,Pork,365.97
2026-07,Pork,385.55
