material_id,date_consumed,raw_material_name,unit,quantity_consumed
RM001,2025-01-01,Chiton,kg,16.91
RM001,2025-01-02,Chiton,kg,21.81
RM001,2025-01-03,Chiton,kg,21.11
RM001,2025-01-04,Chiton,kg,22.09
RM001,2025-01-05,Chiton,kg,22.22
RM001,2025-01-06,Chiton,kg,17.59
RM001,2025-01-07,Chiton,kg,15.53
RM001,2025-01-08,Chiton,kg,18.85
RM001,2025-01-09,Chiton,kg,22.81
RM001,2025-01-10,Chiton,kg,21.66
RM001,2025-01-11,Chiton,kg,26.28
RM001,2025-01-12,Chiton,kg,15.76
RM001,2025-01-13,Chiton,kg,16.87
RM001,2025-01-14,Chiton,kg,15.98
RM001,2025-01-15,Chiton,kg,16.94
RM001,2025-01-16,Chiton,kg,19.28
RM001,2025-01-17,Chiton,kg,19.94
RM001,2025-01-18,Chiton,kg,19.3
RM001,2025-01-19,Chiton,kg,20.34
RM001,2025-01-20,Chiton,kg,15.7
RM001,2025-01-21,Chiton,kg,15.0
RM001,2025-01-22,Chiton,kg,16.35
RM001,2025-01-23,Chiton,kg,18.95
RM001,2025-01-24,Chiton,kg,19.99
RM001,2025-01-25,Chiton,kg,20.21
RM001,2025-01-26,Chiton,kg,17.78
RM001,2025-01-27,Chiton,kg,13.7
RM001,2025-01-28,Chiton,kg,16.35
RM001,2025-01-29,Chiton,kg,16.82
RM001,2025-01-30,Chiton,kg,19.16
RM001,2025-01-31,Chiton,kg,19.51
RM001,2025-02-01,Chiton,kg,23.65
RM001,2025-02-02,Chiton,kg,19.98
RM001,2025-02-03,Chiton,kg,16.39
RM001,2025-02-04,Chiton,kg,18.24
RM001,2025-02-05,Chiton,kg,20.36
RM001,2025-02-06,Chiton,kg,19.59
RM001,2025-02-07,Chiton,kg,21.84
RM001,2025-02-08,Chiton,kg,23.11
RM001,2025-02-09,Chiton,kg,21.95
RM001,2025-02-10,Chiton,kg,15.39
RM001,2025-02-11,Chiton,kg,18.58
RM001,2025-02-12,Chiton,kg,19.16
RM001,2025-02-13,Chiton,kg,17.67
RM001,2025-02-14,Chiton,kg,17.52
RM001,2025-02-15,Chiton,kg,21.03
RM001,2025-02-16,Chiton,kg,17.26
RM001,2025-02-17,Chiton,kg,13.37
RM001,2025-02-18,Chiton,kg,17.71
RM001,2025-02-19,Chiton,kg,19.35
RM001,2025-02-20,Chiton,kg,15.6
RM001,2025-02-21,Chiton,kg,19.59
RM001,2025-02-22,Chiton,kg,16.2
RM001,2025-02-23,Chiton,kg,16.98
RM001,2025-02-24,Chiton,kg,15.55
RM001,2025-02-25,Chiton,kg,16.33
RM001,2025-02-26,Chiton,kg,16.68
RM001,2025-02-27,Chiton,kg,19.92
RM001,2025-02-28,Chiton,kg,20.5
RM001,2025-03-01,Chiton,kg,22.38
RM001,2025-03-02,Chiton,kg,20.72
RM001,2025-03-03,Chiton,kg,15.84
RM001,2025-03-04,Chiton,kg,19.75
RM001,2025-03-05,Chiton,kg,17.07
RM001,2025-03-06,Chiton,kg,19.27
RM001,2025-03-07,Chiton,kg,22.62
RM001,2025-03-08,Chiton,kg,21.41
RM001,2025-03-09,Chiton,kg,21.11
RM001,2025-03-10,Chiton,kg,17.26
RM001,2025-03-11,Chiton,kg,17.03
RM001,2025-03-12,Chiton,kg,21.9
RM001,2025-03-13,Chiton,kg,21.09
RM001,2025-03-14,Chiton,kg,21.22
RM001,2025-03-15,Chiton,kg,22.27
RM001,2025-03-16,Chiton,kg,20.78
RM001,2025-03-17,Chiton,kg,14.54
RM001,2025-03-18,Chiton,kg,16.09
RM001,2025-03-19,Chiton,kg,16.95
RM001,2025-03-20,Chiton,kg,15.4
RM001,2025-03-21,Chiton,kg,19.78
RM001,2025-03-22,Chiton,kg,21.52
RM001,2025-03-23,Chiton,kg,17.16
RM001,2025-03-24,Chiton,kg,15.39
RM001,2025-03-25,Chiton,kg,14.09
RM001,2025-03-26,Chiton,kg,19.8
RM001,2025-03-27,Chiton,kg,16.19
RM001,2025-03-28,Chiton,kg,17.44
RM001,2025-03-29,Chiton,kg,19.61
RM001,2025-03-30,Chiton,kg,20.57
RM001,2025-03-31,Chiton,kg,14.66
RM001,2025-04-01,Chiton,kg,17.39
RM001,2025-04-02,Chiton,kg,19.07
RM001,2025-04-03,Chiton,kg,18.6
RM001,2025-04-04,Chiton,kg,23.02
RM001,2025-04-05,Chiton,kg,21.6
